
[00:00:00.000 --> 00:00:06.760]   Okay. Let's pray.
[00:00:06.760 --> 00:00:18.140]   Heavenly Father, we thank you as we continue on in the book of Genesis
[00:00:18.140 --> 00:00:22.780]   that we get to see your heart, we get to see your character.
[00:00:22.780 --> 00:00:28.640]   Father, we want to draw near to you, not just words on a text.
[00:00:28.980 --> 00:00:31.000]   God, we want to understand you.
[00:00:31.000 --> 00:00:35.180]   Father, even as we learned this past Sunday, we want to love you.
[00:00:35.180 --> 00:00:40.000]   Our desire, God, to grow our affections to be genuine.
[00:00:40.000 --> 00:00:44.920]   And so, Lord, I pray that your words would be from your lips.
[00:00:44.920 --> 00:00:48.680]   God, that we would hear the voice of our shepherd through these words.
[00:00:48.680 --> 00:00:51.520]   God, that we would be drawn to worship.
[00:00:51.520 --> 00:00:54.120]   That our singing would come from our hearts.
[00:00:54.120 --> 00:00:57.680]   That our love for you wouldn't grow just individually but corporately.
[00:00:58.240 --> 00:01:01.600]   As we go into your word, I pray that you would sharpen your church for your glory.
[00:01:01.600 --> 00:01:02.900]   In Jesus' name we pray. Amen.
[00:01:02.900 --> 00:01:04.880]   Come, behold the wondrous mystery in the dawning of the King.
[00:01:04.880 --> 00:01:29.880]   Come, behold the wondrous mystery in the dawning of the King.
[00:01:29.880 --> 00:01:39.900]   He the theme of heaven's praises, robed in frail humanity.
[00:01:39.900 --> 00:01:51.820]   In our longing, in our darkness, now the light of life has come.
[00:01:51.820 --> 00:02:02.360]   Looked to Christ who condescended, took all flesh to ransom us.
[00:02:02.360 --> 00:02:15.560]   Come, behold the wondrous mystery.
[00:02:15.560 --> 00:02:16.560]   He the hell-bound man, He the perfect Son of man.
[00:02:16.560 --> 00:02:20.560]   He the perfect Son of man.
[00:02:20.560 --> 00:02:31.280]   In His living, in His suffering, never trace nor stain of sin.
[00:02:31.280 --> 00:02:39.560]   See the true and better Adam come to save.
[00:02:39.560 --> 00:02:42.560]   The hell-bound man, the hell-bound man.
[00:02:42.560 --> 00:02:47.840]   The hell-bound man, Christ the great and sure fulfillment.
[00:02:47.840 --> 00:02:52.960]   Of the law in Him we stand.
[00:02:52.960 --> 00:03:11.440]   Come, behold the wondrous mystery, Christ the Lord up on the tree.
[00:03:11.440 --> 00:03:21.880]   In the stead of ruined sinners, hang the Lamb in victory.
[00:03:21.880 --> 00:03:28.060]   See the price of our redemption.
[00:03:28.060 --> 00:03:39.080]   See the Father's plan unfold, bringing many sons to glory.
[00:03:39.080 --> 00:03:52.080]   grace unmeasured, love untold.
[00:03:52.080 --> 00:04:02.080]   Come, behold the wondrous mystery, stained by death the God of light.
[00:04:02.080 --> 00:04:08.080]   But no great could ever restrain Him.
[00:04:08.080 --> 00:04:14.080]   Praise the Lord, He is alive.
[00:04:14.080 --> 00:04:19.080]   What a foretaste of deliverance.
[00:04:19.080 --> 00:04:24.080]   How unwavering our hope.
[00:04:24.080 --> 00:04:31.080]   Christ in power resurrected, as we will be.
[00:04:31.080 --> 00:04:33.080]   Christ in power resurrected, as we will be.
[00:04:33.080 --> 00:04:35.080]   Christ in power resurrected, as we will be.
[00:04:35.080 --> 00:04:36.080]   Christ in power resurrected, as we will be.
[00:04:36.080 --> 00:04:37.080]   Christ in power resurrected, as we will be.
[00:04:37.080 --> 00:04:37.080]   Christ in power resurrected, as we will be.
[00:04:37.080 --> 00:04:38.080]   Christ in power resurrected, as we will be.
[00:04:38.080 --> 00:04:39.080]   Christ in power resurrected, as we will be.
[00:04:39.080 --> 00:04:42.080]   Christ in power resurrected, as we will be.
[00:04:42.080 --> 00:04:47.080]   Christ in power resurrected, as we will be.
[00:04:47.080 --> 00:04:49.080]   Christ in power resurrected, as we will be.
[00:04:49.080 --> 00:04:52.080]   Christ in power resurrected, as we will be.
[00:04:52.080 --> 00:04:53.080]   Christ in power resurrected, as we will be.
[00:04:53.080 --> 00:04:54.080]   Christ in power resurrected, as we will be.
[00:04:54.080 --> 00:04:55.080]   Christ in power resurrected, as we will be.
[00:04:55.080 --> 00:04:55.080]   Christ in power resurrected, as we will be.
[00:04:55.080 --> 00:04:55.080]   Christ in power resurrected, as we will be.
[00:04:55.080 --> 00:04:56.080]   Christ in power resurrected, as we will be.
[00:04:56.080 --> 00:04:56.080]   Christ in power resurrected, as we will be.
[00:04:56.080 --> 00:04:57.080]   Christ in power resurrected, as we will be.
[00:04:57.080 --> 00:04:58.080]   Christ in power resurrected, as we will be.
[00:04:58.080 --> 00:04:59.080]   Christ in power resurrected, as we will be.
[00:04:59.080 --> 00:05:00.080]   Christ in power resurrected, as we will be.
[00:05:00.080 --> 00:05:01.080]   Christ in power resurrected, as we will be.
[00:05:01.080 --> 00:05:02.080]   Christ in power resurrected, as we will be.
[00:05:02.080 --> 00:05:03.080]   Christ in power resurrected, as we will be.
[00:05:03.080 --> 00:05:15.080]   Christ in power resurrected, as we will be.
[00:05:15.080 --> 00:05:16.080]   Christ in power resurrected, as we will be.
[00:05:16.080 --> 00:05:18.080]   Christ in power resurrected, as we will be.
[00:05:18.080 --> 00:05:19.080]   Christ in power resurrected, as we will be.
[00:05:19.080 --> 00:05:21.080]   Christ in power resurrected, as we will be.
[00:05:21.080 --> 00:05:24.080]   Christ in power resurrected, as we will be.
[00:05:24.080 --> 00:05:26.080]   Christ in power resurrected, as we will be.
[00:05:26.080 --> 00:05:28.080]   Christ in power resurrected, as we will be.
[00:05:28.080 --> 00:05:29.080]   Christ in power resurrected, as we will be.
[00:05:29.080 --> 00:05:30.080]   Christ in power resurrected, as we will be.
[00:05:30.080 --> 00:05:31.080]   Christ in power resurrected, as we will be.
[00:05:31.080 --> 00:05:32.080]   Christ in power resurrected, as we will be.
[00:05:32.080 --> 00:05:33.080]   Christ in power resurrected, as we will be.
[00:05:33.080 --> 00:05:34.080]   Christ in power liberated, as we will be.
[00:05:34.080 --> 00:05:35.080]   Christ in power liberated, as we will be.
[00:05:35.080 --> 00:05:36.080]   Christ in power liberated, as we will be.
[00:05:36.080 --> 00:05:37.080]   Christ in power liberated, as we will be.
[00:05:37.080 --> 00:05:38.080]   Christ in power liberated, as we will be.
[00:05:38.080 --> 00:05:39.080]   Christ in power liberated, as we will be.
[00:05:39.080 --> 00:05:40.080]   Christ in power liberated, as we will be.
[00:05:40.080 --> 00:05:41.080]   Christ in power liberated, as we will be.
[00:05:41.080 --> 00:05:42.080]   Christ in power liberated, as we will be.
[00:05:42.080 --> 00:05:42.080]   Christ in power liberated, as we will be.
[00:05:42.080 --> 00:05:43.080]   Christ in power liberated, as we will be.
[00:05:43.080 --> 00:05:44.080]   Christ in power liberated, as we will be.
[00:05:44.080 --> 00:05:45.080]   Christ in power liberated, as we will be.
[00:05:45.080 --> 00:05:46.080]   Christ in power liberated, as we will be.
[00:05:46.080 --> 00:05:47.080]   Christ in power liberated, as we will be.
[00:05:47.080 --> 00:05:48.080]   Christ in power liberated, as we will be.
[00:05:48.080 --> 00:05:48.080]   Christ in power liberated, as we will be.
[00:05:48.080 --> 00:05:49.080]   Christ in power liberated, as we will be.
[00:05:49.080 --> 00:05:52.080]   Christ in power liberated, as we will be.
[00:05:52.080 --> 00:05:53.080]   Christ in power liberated, as we will be.
[00:05:53.080 --> 00:05:54.080]   Christ in power liberated, as we will be.
[00:05:54.080 --> 00:05:55.080]   Christ in power liberated, as we will be.
[00:05:55.080 --> 00:05:56.080]   Christ in power liberated, as we will be.
[00:05:56.080 --> 00:05:57.080]   Christ in power liberated, as we will be.
[00:05:57.080 --> 00:05:58.080]   Christ in power liberated, as we will be.
[00:05:58.080 --> 00:05:59.080]   Christ in power liberated, as we will be.
[00:05:59.080 --> 00:06:00.080]   Christ in power liberated, as we will be.
[00:06:00.080 --> 00:06:01.080]   Christ in power liberated, as we will be.
[00:06:01.080 --> 00:06:02.080]   Christ in power liberated, as we will be.
[00:06:02.080 --> 00:06:03.080]   Christ in power liberated, as we will be.
[00:06:03.080 --> 00:06:04.080]   Christ in power liberated, as we will be.
[00:06:04.080 --> 00:06:05.080]   Christ in power liberated, as we will be.
[00:06:05.080 --> 00:06:06.080]   Christ in power liberated, as we will be.
