
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:11.320 --> 00:00:15.400]   (audience chattering continues)
[00:00:15.400 --> 00:00:19.480]   (audience chattering continues)
[00:00:19.640 --> 00:00:23.720]   (audience chattering continues)
[00:00:23.720 --> 00:00:27.800]   (audience chattering continues)
[00:00:27.800 --> 00:00:31.880]   (audience chattering continues)
[00:00:31.880 --> 00:00:35.960]   (audience chattering continues)
[00:00:35.960 --> 00:00:40.040]   (audience chattering continues)
[00:00:40.040 --> 00:00:44.120]   (audience chattering continues)
[00:00:44.120 --> 00:00:48.200]   (audience chattering continues)
[00:00:48.200 --> 00:00:52.200]   (audience chattering continues)
[00:00:52.200 --> 00:00:56.200]   (audience chattering continues)
[00:00:56.200 --> 00:01:00.200]   (audience chattering continues)
[00:01:00.200 --> 00:01:04.200]   (audience chattering continues)
[00:01:04.200 --> 00:01:08.200]   (audience chattering continues)
[00:01:08.200 --> 00:01:12.200]   (audience chattering continues)
[00:01:12.200 --> 00:01:16.200]   (audience chattering continues)
[00:01:16.200 --> 00:01:20.200]   (audience chattering continues)
[00:01:20.200 --> 00:01:24.200]   (audience chattering continues)
[00:01:25.200 --> 00:01:29.200]   (audience chattering continues)
[00:01:29.200 --> 00:01:33.200]   (audience chattering continues)
[00:01:33.200 --> 00:01:37.200]   (audience chattering continues)
[00:01:37.200 --> 00:01:41.200]   (audience chattering continues)
[00:01:41.200 --> 00:01:45.200]   (audience chattering continues)
[00:01:45.200 --> 00:01:49.200]   (audience chattering continues)
[00:01:49.200 --> 00:01:53.200]   (audience chattering continues)
[00:01:53.200 --> 00:01:57.200]   (audience chattering continues)
[00:01:57.200 --> 00:02:05.200]   (audience chattering continues)
[00:02:20.200 --> 00:02:24.200]   (audience chattering continues)
[00:02:24.200 --> 00:02:28.200]   (audience chattering continues)
[00:02:29.200 --> 00:02:33.200]   (audience chattering continues)
[00:02:33.200 --> 00:02:37.200]   (audience chattering continues)
[00:02:38.200 --> 00:02:42.200]   (audience chattering continues)
[00:02:42.200 --> 00:02:50.200]   (audience chattering continues)
[00:02:50.200 --> 00:02:59.200]   (audience chattering continues)
[00:02:59.200 --> 00:03:03.200]   (audience chattering continues)
[00:03:03.200 --> 00:03:20.200]   (audience chattering continues)
[00:03:21.200 --> 00:03:25.200]   (audience chattering continues)
[00:03:25.200 --> 00:03:44.200]   (audience chattering continues)
[00:03:45.200 --> 00:03:49.200]   (audience chattering continues)
[00:03:49.200 --> 00:04:04.200]   (audience chattering continues)
[00:04:04.200 --> 00:04:08.200]   (audience chattering continues)
[00:04:29.200 --> 00:04:33.200]   (audience chattering continues)
[00:04:34.200 --> 00:04:38.200]   (audience chattering continues)
[00:04:39.200 --> 00:04:43.200]   (audience chattering continues)
[00:04:44.200 --> 00:04:48.200]   (audience chattering continues)
[00:04:49.200 --> 00:04:53.200]   (audience chattering continues)
[00:05:17.200 --> 00:05:21.200]   (audience chattering continues)
[00:05:43.200 --> 00:05:47.200]   (audience chattering continues)
[00:05:47.200 --> 00:05:52.200]   - Okay, all right, good evening, everybody.
[00:05:52.200 --> 00:05:55.200]   Please go ahead and take your seats.
[00:05:55.200 --> 00:05:59.200]   Let's make our way over to our tables.
[00:05:59.200 --> 00:06:03.200]   We'll begin our evening with worship time again.
[00:06:03.200 --> 00:06:05.200]   Let's get settled in.
[00:06:12.200 --> 00:06:16.200]   All right, please join with me in a word of prayer.
[00:06:16.200 --> 00:06:22.200]   Heavenly Father, we really thank you always,
[00:06:22.200 --> 00:06:26.200]   knowing, God, that every opportunity, every day,
[00:06:26.200 --> 00:06:28.200]   we have your mercies and your grace
[00:06:28.200 --> 00:06:30.200]   and your ministry unto us.
